Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
"QC","Crops","10","Australia","5510","Production","75","Oats","2018","2018","tonnes","1227837"
"QC","Crops","10","Australia","5510","Production","260","Olives","2018","2018","tonnes","62179"
"QC","Crops","10","Australia","5510","Production","403","Onions, dry","2018","2018","tonnes","278938"
"QC","Crops","10","Australia","5510","Production","490","Oranges","2018","2018","tonnes","378233"
"QC","Crops","10","Australia","5510","Production","600","Papayas","2018","2018","tonnes","6402"
"QC","Crops","10","Australia","5510","Production","534","Peaches and nectarines","2018","2018","tonnes","82407"
"QC","Crops","10","Australia","5510","Production","521","Pears","2018","2018","tonnes","103748"
"QC","Crops","10","Australia","5510","Production","187","Peas, dry","2018","2018","tonnes","317209"
"QC","Crops","10","Australia","5510","Production","417","Peas, green","2018","2018","tonnes","22929"
"QC","Crops","10","Australia","5510","Production","587","Persimmons","2018","2018","tonnes","719"
"QC","Crops","10","Australia","5510","Production","574","Pineapples","2018","2018","tonnes","88660"
"QC","Crops","10","Australia","5510","Production","223","Pistachios","2018","2018","tonnes","1529"
"QC","Crops","10","Australia","5510","Production","536","Plums and sloes","2018","2018","tonnes","17837"
"QC","Crops","10","Australia","5510","Production","116","Potatoes","2018","2018","tonnes","1188655"
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","2018","2018","tonnes","37335"
"QC","Crops","10","Australia","5510","Production","394","Pumpkins, squash and gourds","2018","2018","tonnes","92707"
"QC","Crops","10","Australia","5510","Production","523","Quinces","2018","2018","tonnes",""
"QC","Crops","10","Australia","5510","Production","270","Rapeseed","2018","2018","tonnes","3893071"
"QC","Crops","10","Australia","5510","Production","547","Raspberries","2018","2018","tonnes","707"
"QC","Crops","10","Australia","5510","Production","27","Rice, paddy","2018","2018","tonnes","635113"
"QC","Crops","10","Australia","5510","Production","71","Rye","2018","2018","tonnes","30762"
"QC","Crops","10","Australia","5510","Production","280","Safflower seed","2018","2018","tonnes","4892"
"QC","Crops","10","Australia","5510","Production","328","Seed cotton","2018","2018","tonnes","2500000"
"QC","Crops","10","Australia","5510","Production","83","Sorghum","2018","2018","tonnes","1257219"
"QC","Crops","10","Australia","5510","Production","236","Soybeans","2018","2018","tonnes","63000"
"QC","Crops","10","Australia","5510","Production","373","Spinach","2018","2018","tonnes","10893"
"QC","Crops","10","Australia","5510","Production","544","Strawberries","2018","2018","tonnes","57384"
"QC","Crops","10","Australia","5510","Production","156","Sugar cane","2018","2018","tonnes","33506830"
"QC","Crops","10","Australia","5510","Production","267","Sunflower seed","2018","2018","tonnes","31000"
"QC","Crops","10","Australia","5510","Production","122","Sweet potatoes","2018","2018","tonnes","70204"
"QC","Crops","10","Australia","5510","Production","495","Tangerines, mandarins, clementines, satsumas","2018","2018","tonnes","138007"
"QC","Crops","10","Australia","5510","Production","826","Tobacco, unmanufactured","2018","2018","tonnes","2256"
"QC","Crops","10","Australia","5510","Production","388","Tomatoes","2018","2018","tonnes","386376"
"QC","Crops","10","Australia","5510","Production","97","Triticale","2018","2018","tonnes","86957"
"QC","Crops","10","Australia","5510","Production","463","Vegetables, fresh nes","2018","2018","tonnes","77528"
"QC","Crops","10","Australia","5510","Production","205","Vetches","2018","2018","tonnes","12006"
"QC","Crops","10","Australia","5510","Production","222","Walnuts, with shell","2018","2018","tonnes","2681"
"QC","Crops","10","Australia","5510","Production","567","Watermelons","2018","2018","tonnes","181667"
"QC","Crops","10","Australia","5510","Production","15","Wheat","2018","2018","tonnes","20941134"
"QC","Crops","96","China, Hong Kong SAR","5510","Production","414","Beans, green","2018","2018","tonnes","298"
"QC","Crops","96","China, Hong Kong SAR","5510","Production","358","Cabbages and other brassicas","2018","2018","tonnes","835"
"QC","Crops","96","China, Hong Kong SAR","5510","Production","397","Cucumbers and gherkins","2018","2018","tonnes","1879"
"QC","Crops","96","China, Hong Kong SAR","5510","Production","399","Eggplants (aubergines)","2018","2018","tonnes","261"
"QC","Crops","96","China, Hong Kong SAR","5510","Production","619","Fruit, fresh nes","2018","2018","tonnes","5033"
"QC","Crops","96","China, Hong Kong SAR","5510","Production","372","Lettuce and chicory","2018","2018","tonnes","4698"
"QC","Crops","96","China, Hong Kong SAR","5510","Production","449","Mushrooms and truffles","2018","2018","tonnes","39"
"QC","Crops","96","China, Hong Kong SAR","5510","Production","402","Onions, shallots, green","2018","2018","tonnes","4704"
"QC","Crops","96","China, Hong Kong SAR","5510","Production","417","Peas, green","2018","2018","tonnes","422"
"QC","Crops","96","China, Hong Kong SAR","5510","Production","394","Pumpkins, squash and gourds","2018","2018","tonnes","249"
"QC","Crops","96","China, Hong Kong SAR","5510","Production","27","Rice, paddy","2018","2018","tonnes","0"
"QC","Crops","96","China, Hong Kong SAR","5510","Production","723","Spices nes","2018","2018","tonnes","998"
"QC","Crops","96","China, Hong Kong SAR","5510","Production","373","Spinach","2018","2018","tonnes","12848"
"QC","Crops","96","China, Hong Kong SAR","5510","Production","122","Sweet potatoes","2018","2018","tonnes","46"
"QC","Crops","96","China, Hong Kong SAR","5510","Production","388","Tomatoes","2018","2018","tonnes","38"
"QC","Crops","96","China, Hong Kong SAR","5510","Production","463","Vegetables, fresh nes","2018","2018","tonnes","11620"
"QC","Crops","41","China, mainland","5510","Production","221","Almonds, with shell","2018","2018","tonnes","49879"
"QC","Crops","41","China, mainland","5510","Production","711","Anise, badian, fennel, coriander","2018","2018","tonnes","56395"
"QC","Crops","41","China, mainland","5510","Production","515","Apples","2018","2018","tonnes","39233400"
"QC","Crops","41","China, mainland","5510","Production","526","Apricots","2018","2018","tonnes","58811"
"QC","Crops","41","China, mainland","5510","Production","366","Artichokes","2018","2018","tonnes","90397"
"QC","Crops","41","China, mainland","5510","Production","367","Asparagus","2018","2018","tonnes","7982230"
"QC","Crops","41","China, mainland","5510","Production","572","Avocados","2018","2018","tonnes","128743"
"QC","Crops","41","China, mainland","5510","Production","486","Bananas","2018","2018","tonnes","11221700"
"QC","Crops","41","China, mainland","5510","Production","44","Barley","2018","2018","tonnes","1487906"
"QC","Crops","41","China, mainland","5510","Production","782","Bastfibres, other","2018","2018","tonnes","21510"
"QC","Crops","41","China, mainland","5510","Production","176","Beans, dry","2018","2018","tonnes","1324407"
"QC","Crops","41","China, mainland","5510","Production","414","Beans, green","2018","2018","tonnes","19897100"
"QC","Crops","41","China, mainland","5510","Production","558","Berries nes","2018","2018","tonnes","62212"
"QC","Crops","41","China, mainland","5510","Production","181","Broad beans, horse beans, dry","2018","2018","tonnes","1806010"
"QC","Crops","41","China, mainland","5510","Production","89","Buckwheat","2018","2018","tonnes","1134988"
"QC","Crops","41","China, mainland","5510","Production","358","Cabbages and other brassicas","2018","2018","tonnes","33188664"
"QC","Crops","41","China, mainland","5510","Production","426","Carrots and turnips","2018","2018","tonnes","17904421"
"QC","Crops","41","China, mainland","5510","Production","217","Cashew nuts, with shell","2018","2018","tonnes","223"
"QC","Crops","41","China, mainland","5510","Production","125","Cassava","2018","2018","tonnes","4915255"
"QC","Crops","41","China, mainland","5510","Production","265","Castor oil seed","2018","2018","tonnes","27000"
"QC","Crops","41","China, mainland","5510","Production","393","Cauliflowers and broccoli","2018","2018","tonnes","10668866"
"QC","Crops","41","China, mainland","5510","Production","108","Cereals nes","2018","2018","tonnes","88605"
"QC","Crops","41","China, mainland","5510","Production","531","Cherries","2018","2018","tonnes","37577"
"QC","Crops","41","China, mainland","5510","Production","220","Chestnut","2018","2018","tonnes","1965351"
"QC","Crops","41","China, mainland","5510","Production","191","Chick peas","2018","2018","tonnes","15652"
"QC","Crops","41","China, mainland","5510","Production","689","Chillies and peppers, dry","2018","2018","tonnes","321290"
"QC","Crops","41","China, mainland","5510","Production","401","Chillies and peppers, green","2018","2018","tonnes","18184711"
"QC","Crops","41","China, mainland","5510","Production","693","Cinnamon (cannella)","2018","2018","tonnes","81545"
"QC","Crops","41","China, mainland","5510","Production","698","Cloves","2018","2018","tonnes","1322"
"QC","Crops","41","China, mainland","5510","Production","249","Coconuts","2018","2018","tonnes","383123"
"QC","Crops","41","China, mainland","5510","Production","656","Coffee, green","2018","2018","tonnes","100332"
"QC","Crops","41","China, mainland","5510","Production","767","Cotton lint","2018","2018","tonnes","6102800"
"QC","Crops","41","China, mainland","5510","Production","329","Cottonseed","2018","2018","tonnes","10100000"
"QC","Crops","41","China, mainland","5510","Production","195","Cow peas, dry","2018","2018","tonnes","15652"
"QC","Crops","41","China, mainland","5510","Production","397","Cucumbers and gherkins","2018","2018","tonnes","56240428"
"QC","Crops","41","China, mainland","5510","Production","577","Dates","2018","2018","tonnes","158294"
"QC","Crops","41","China, mainland","5510","Production","399","Eggplants (aubergines)","2018","2018","tonnes","34102735"
"QC","Crops","41","China, mainland","5510","Production","821","Fibre crops nes","2018","2018","tonnes",""
"QC","Crops","41","China, mainland","5510","Production","569","Figs","2018","2018","tonnes","13914"
"QC","Crops","41","China, mainland","5510","Production","773","Flax fibre and tow","2018","2018","tonnes","13157"
"QC","Crops","41","China, mainland","5510","Production","512","Fruit, citrus nes","2018","2018","tonnes","5793396"
"QC","Crops","41","China, mainland","5510","Production","619","Fruit, fresh nes","2018","2018","tonnes","2840643"
"QC","Crops","41","China, mainland","5510","Production","541","Fruit, stone nes","2018","2018","tonnes","167011"
"QC","Crops","41","China, mainland","5510","Production","603","Fruit, tropical fresh nes","2018","2018","tonnes","3803954"
"QC","Crops","41","China, mainland","5510","Production","406","Garlic","2018","2018","tonnes","22273802"
"QC","Crops","41","China, mainland","5510","Production","720","Ginger","2018","2018","tonnes","510035"
"QC","Crops","41","China, mainland","5510","Production","507","Grapefruit (inc. pomelos)","2018","2018","tonnes","4965768"
"QC","Crops","41","China, mainland","5510","Production","560","Grapes","2018","2018","tonnes","13397012"
"QC","Crops","41","China, mainland","5510","Production","242","Groundnuts, with shell","2018","2018","tonnes","17332600"
"QC","Crops","41","China, mainland","5510","Production","225","Hazelnuts, with shell","2018","2018","tonnes","24790"
"QC","Crops","41","China, mainland","5510","Production","777","Hemp tow waste","2018","2018","tonnes","12623"
"QC","Crops","41","China, mainland","5510","Production","336","Hempseed","2018","2018","tonnes","11822"
"QC","Crops","41","China, mainland","5510","Production","677","Hops","2018","2018","tonnes","8407"
"QC","Crops","41","China, mainland","5510","Production","780","Jute","2018","2018","tonnes","30497"
"QC","Crops","41","China, mainland","5510","Production","263","Karite nuts (sheanuts)","2018","2018","tonnes",""
"QC","Crops","41","China, mainland","5510","Production","592","Kiwi fruit","2018","2018","tonnes","2035158"
"QC","Crops","41","China, mainland","5510","Production","407","Leeks, other alliaceous vegetables","2018","2018","tonnes","133975"
"QC","Crops","41","China, mainland","5510","Production","497","Lemons and limes","2018","2018","tonnes","2482884"
"QC","Crops","41","China, mainland","5510","Production","201","Lentils","2018","2018","tonnes","172173"
"QC","Crops","41","China, mainland","5510","Production","372","Lettuce and chicory","2018","2018","tonnes","15541717"
"QC","Crops","41","China, mainland","5510","Production","333","Linseed","2018","2018","tonnes","365511"
"QC","Crops","41","China, mainland","5510","Production","56","Maize","2018","2018","tonnes","257173900"
"QC","Crops","41","China, mainland","5510","Production","446","Maize, green","2018","2018","tonnes","106884"
"QC","Crops","41","China, mainland","5510","Production","571","Mangoes, mangosteens, guavas","2018","2018","tonnes","4845442"
"QC","Crops","41","China, mainland","5510","Production","568","Melons, other (inc.cantaloupes)","2018","2018","tonnes","12727263"
"QC","Crops","41","China, mainland","5510","Production","299","Melonseed","2018","2018","tonnes","30112"
"QC","Crops","41","China, mainland","5510","Production","79","Millet","2018","2018","tonnes","1565965"
"QC","Crops","41","China, mainland","5510","Production","449","Mushrooms and truffles","2018","2018","tonnes","6664606"
"QC","Crops","41","China, mainland","5510","Production","292","Mustard seed","2018","2018","tonnes","18582"
"QC","Crops","41","China, mainland","5510","Production","234","Nuts nes","2018","2018","tonnes","144065"
"QC","Crops","41","China, mainland","5510","Production","75","Oats","2018","2018","tonnes","1004592"
"QC","Crops","41","China, mainland","5510","Production","254","Oil palm fruit","2018","2018","tonnes","672760"
"QC","Crops","41","China, mainland","5510","Production","257","Oil, palm","2018","2018","tonnes","230500"
"QC","Crops","41","China, mainland","5510","Production","339","Oilseeds nes","2018","2018","tonnes","2630000"
"QC","Crops","41","China, mainland","5510","Production","403","Onions, dry","2018","2018","tonnes","24699576"
"QC","Crops","41","China, mainland","5510","Production","402","Onions, shallots, green","2018","2018","tonnes","941706"
"QC","Crops","41","China, mainland","5510","Production","490","Oranges","2018","2018","tonnes","9103908"
"QC","Crops","41","China, mainland","5510","Production","256","Palm kernels","2018","2018","tonnes","53820"
"QC","Crops","41","China, mainland","5510","Production","600","Papayas","2018","2018","tonnes","40422"
"QC","Crops","41","China, mainland","5510","Production","534","Peaches and nectarines","2018","2018","tonnes","15195291"
"QC","Crops","41","China, mainland","5510","Production","521","Pears","2018","2018","tonnes","16078000"
"QC","Crops","41","China, mainland","5510","Production","187","Peas, dry","2018","2018","tonnes","1525476"
"QC","Crops","41","China, mainland","5510","Production","417","Peas, green","2018","2018","tonnes","12960844"
"QC","Crops","41","China, mainland","5510","Production","687","Pepper (piper spp.)","2018","2018","tonnes","36125"
"QC","Crops","41","China, mainland","5510","Production","587","Persimmons","2018","2018","tonnes","3084458"
"QC","Crops","41","China, mainland","5510","Production","574","Pineapples","2018","2018","tonnes","1573471"
"QC","Crops","41","China, mainland","5510","Production","223","Pistachios","2018","2018","tonnes","74828"
"QC","Crops","41","China, mainland","5510","Production","536","Plums and sloes","2018","2018","tonnes","6788107"
"QC","Crops","41","China, mainland","5510","Production","116","Potatoes","2018","2018","tonnes","90259155"
"QC","Crops","41","China, mainland","5510","Production","211","Pulses nes","2018","2018","tonnes","154113"
"QC","Crops","41","China, mainland","5510","Production","394","Pumpkins, squash and gourds","2018","2018","tonnes","8133734"
"QC","Crops","41","China, mainland","5510","Production","523","Quinces","2018","2018","tonnes","118593"
"QC","Crops","41","China, mainland","5510","Production","788","Ramie","2018","2018","tonnes","104125"
"QC","Crops","41","China, mainland","5510","Production","270","Rapeseed","2018","2018","tonnes","13281200"
"QC","Crops","41","China, mainland","5510","Production","27","Rice, paddy","2018","2018","tonnes","212129000"
"QC","Crops","41","China, mainland","5510","Production","149","Roots and tubers nes","2018","2018","tonnes","49676"
"QC","Crops","41","China, mainland","5510","Production","836","Rubber, natural","2018","2018","tonnes","824000"
"QC","Crops","41","China, mainland","5510","Production","71","Rye","2018","2018","tonnes","1044776"
"QC","Crops","41","China, mainland","5510","Production","280","Safflower seed","2018","2018","tonnes","32950"
"QC","Crops","41","China, mainland","5510","Production","328","Seed cotton","2018","2018","tonnes","17711962"
"QC","Crops","41","China, mainland","5510","Production","289","Sesame seed","2018","2018","tonnes","431500"
"QC","Crops","41","China, mainland","5510","Production","789","Sisal","2018","2018","tonnes","12986"
"QC","Crops","41","China, mainland","5510","Production","83","Sorghum","2018","2018","tonnes","2192032"
"QC","Crops","41","China, mainland","5510","Production","236","Soybeans","2018","2018","tonnes","14189217"
"QC","Crops","41","China, mainland","5510","Production","723","Spices nes","2018","2018","tonnes","113199"
"QC","Crops","41","China, mainland","5510","Production","373","Spinach","2018","2018","tonnes","23792691"
"QC","Crops","41","China, mainland","5510","Production","544","Strawberries","2018","2018","tonnes","2955453"
"QC","Crops","41","China, mainland","5510","Production","157","Sugar beet","2018","2018","tonnes","12077618"
"QC","Crops","41","China, mainland","5510","Production","156","Sugar cane","2018","2018","tonnes","108097100"
"QC","Crops","41","China, mainland","5510","Production","267","Sunflower seed","2018","2018","tonnes","2550000"
"QC","Crops","41","China, mainland","5510","Production","122","Sweet potatoes","2018","2018","tonnes","53009345"
"QC","Crops","41","China, mainland","5510","Production","305","Tallowtree seed","2018","2018","tonnes","1048526"
"QC","Crops","41","China, mainland","5510","Production","495","Tangerines, mandarins, clementines, satsumas","2018","2018","tonnes","19035444"
"QC","Crops","41","China, mainland","5510","Production","136","Taro (cocoyam)","2018","2018","tonnes","1910563"
"QC","Crops","41","China, mainland","5510","Production","667","Tea","2018","2018","tonnes","2610400"
"QC","Crops","41","China, mainland","5510","Production","826","Tobacco, unmanufactured","2018","2018","tonnes","2241000"
"QC","Crops","41","China, mainland","5510","Production","388","Tomatoes","2018","2018","tonnes","61523462"
"QC","Crops","41","China, mainland","5510","Production","97","Triticale","2018","2018","tonnes","773536"
"QC","Crops","41","China, mainland","5510","Production","275","Tung nuts","2018","2018","tonnes","348000"
"QC","Crops","41","China, mainland","5510","Production","692","Vanilla","2018","2018","tonnes","459"
"QC","Crops","41","China, mainland","5510","Production","463","Vegetables, fresh nes","2018","2018","tonnes","173835567"
"QC","Crops","41","China, mainland","5510","Production","420","Vegetables, leguminous nes","2018","2018","tonnes","124895"
"QC","Crops","41","China, mainland","5510","Production","222","Walnuts, with shell","2018","2018","tonnes","1586367"
"QC","Crops","41","China, mainland","5510","Production","567","Watermelons","2018","2018","tonnes","62803768"
"QC","Crops","41","China, mainland","5510","Production","15","Wheat","2018","2018","tonnes","131440500"
"QC","Crops","214","China, Taiwan Province of","5510","Production","515","Apples","2018","2018","tonnes","1619"
"QC","Crops","214","China, Taiwan Province of","5510","Production","526","Apricots","2018","2018","tonnes","17382"
"QC","Crops","214","China, Taiwan Province of","5510","Production","226","Areca nuts","2018","2018","tonnes","102918"
"QC","Crops","214","China, Taiwan Province of","5510","Production","367","Asparagus","2018","2018","tonnes","2582"
"QC","Crops","214","China, Taiwan Province of","5510","Production","486","Bananas","2018","2018","tonnes","356238"
"QC","Crops","214","China, Taiwan Province of","5510","Production","44","Barley","2018","2018","tonnes",""
"QC","Crops","214","China, Taiwan Province of","5510","Production","176","Beans, dry","2018","2018","tonnes","13145"
"QC","Crops","214","China, Taiwan Province of","5510","Production","414","Beans, green","2018","2018","tonnes","12585"
"QC","Crops","214","China, Taiwan Province of","5510","Production","552","Blueberries","2018","2018","tonnes",""
"QC","Crops","214","China, Taiwan Province of","5510","Production","358","Cabbages and other brassicas","2018","2018","tonnes","651187"
"QC","Crops","214","China, Taiwan Province of","5510","Production","426","Carrots and turnips","2018","2018","tonnes","114388"
"QC","Crops","214","China, Taiwan Province of","5510","Production","125","Cassava","2018","2018","tonnes","10749"
"QC","Crops","214","China, Taiwan Province of","5510","Production","265","Castor oil seed","2018","2018","tonnes",""
"QC","Crops","214","China, Taiwan Province of","5510","Production","393","Cauliflowers and broccoli","2018","2018","tonnes","68515"
"QC","Crops","214","China, Taiwan Province of","5510","Production","108","Cereals nes","2018","2018","tonnes","386"
"QC","Crops","214","China, Taiwan Province of","5510","Production","401","Chillies and peppers, green","2018","2018","tonnes","29307"
"QC","Crops","214","China, Taiwan Province of","5510","Production","661","Cocoa, beans","2018","2018","tonnes",""
"QC","Crops","214","China, Taiwan Province of","5510","Production","249","Coconuts","2018","2018","tonnes","19561"
"QC","Crops","214","China, Taiwan Province of","5510","Production","656","Coffee, green","2018","2018","tonnes","0"
"QC","Crops","214","China, Taiwan Province of","5510","Production","397","Cucumbers and gherkins","2018","2018","tonnes","51224"
"QC","Crops","214","China, Taiwan Province of","5510","Production","399","Eggplants (aubergines)","2018","2018","tonnes","34561"
"QC","Crops","214","China, Taiwan Province of","5510","Production","821","Fibre crops nes","2018","2018","tonnes","371"
"QC","Crops","214","China, Taiwan Province of","5510","Production","773","Flax fibre and tow","2018","2018","tonnes","259"
"QC","Crops","214","China, Taiwan Province of","5510","Production","512","Fruit, citrus nes","2018","2018","tonnes","71495"
"QC","Crops","214","China, Taiwan Province of","5510","Production","619","Fruit, fresh nes","2018","2018","tonnes","155143"
"QC","Crops","214","China, Taiwan Province of","5510","Production","603","Fruit, tropical fresh nes","2018","2018","tonnes","449089"
"QC","Crops","214","China, Taiwan Province of","5510","Production","406","Garlic","2018","2018","tonnes","60075"
"QC","Crops","214","China, Taiwan Province of","5510","Production","720","Ginger","2018","2018","tonnes","23372"
"QC","Crops","214","China, Taiwan Province of","5510","Production","507","Grapefruit (inc. pomelos)","2018","2018","tonnes","90563"
"QC","Crops","214","China, Taiwan Province of","5510","Production","560","Grapes","2018","2018","tonnes","97799"
"QC","Crops","214","China, Taiwan Province of","5510","Production","242","Groundnuts, with shell","2018","2018","tonnes","59471"
"QC","Crops","214","China, Taiwan Province of","5510","Production","780","Jute","2018","2018","tonnes",""
"QC","Crops","214","China, Taiwan Province of","5510","Production","407","Leeks, other alliaceous vegetables","2018","2018","tonnes","22960"
"QC","Crops","214","China, Taiwan Province of","5510","Production","497","Lemons and limes","2018","2018","tonnes","41431"
"QC","Crops","214","China, Taiwan Province of","5510","Production","56","Maize","2018","2018","tonnes","174759"
"QC","Crops","214","China, Taiwan Province of","5510","Production","446","Maize, green","2018","2018","tonnes",""
"QC","Crops","214","China, Taiwan Province of","5510","Production","571","Mangoes, mangosteens, guavas","2018","2018","tonnes","146672"
"QC","Crops","214","China, Taiwan Province of","5510","Production","568","Melons, other (inc.cantaloupes)","2018","2018","tonnes","60955"
"QC","Crops","214","China, Taiwan Province of","5510","Production","299","Melonseed","2018","2018","tonnes",""
"QC","Crops","214","China, Taiwan Province of","5510","Production","79","Millet","2018","2018","tonnes","398"
"QC","Crops","214","China, Taiwan Province of","5510","Production","449","Mushrooms and truffles","2018","2018","tonnes","10719"
"QC","Crops","214","China, Taiwan Province of","5510","Production","339","Oilseeds nes","2018","2018","tonnes","22751"
"QC","Crops","214","China, Taiwan Province of","5510","Production","260","Olives","2018","2018","tonnes","2630"
"QC","Crops","214","China, Taiwan Province of","5510","Production","403","Onions, dry","2018","2018","tonnes","75768"
"QC","Crops","214","China, Taiwan Province of","5510","Production","402","Onions, shallots, green","2018","2018","tonnes","117210"
"QC","Crops","214","China, Taiwan Province of","5510","Production","490","Oranges","2018","2018","tonnes","142397"
"QC","Crops","214","China, Taiwan Province of","5510","Production","600","Papayas","2018","2018","tonnes","127244"
"QC","Crops","214","China, Taiwan Province of","5510","Production","534","Peaches and nectarines","2018","2018","tonnes","22506"
"QC","Crops","214","China, Taiwan Province of","5510","Production","521","Pears","2018","2018","tonnes","118649"
"QC","Crops","214","China, Taiwan Province of","5510","Production","417","Peas, green","2018","2018","tonnes","3860"
"QC","Crops","214","China, Taiwan Province of","5510","Production","748","Peppermint","2018","2018","tonnes","0"
"QC","Crops","214","China, Taiwan Province of","5510","Production","587","Persimmons","2018","2018","tonnes","84301"
"QC","Crops","214","China, Taiwan Province of","5510","Production","574","Pineapples","2018","2018","tonnes","432084"
"QC","Crops","214","China, Taiwan Province of","5510","Production","536","Plums and sloes","2018","2018","tonnes","13080"
"QC","Crops","214","China, Taiwan Province of","5510","Production","116","Potatoes","2018","2018","tonnes","62287"
"QC","Crops","214","China, Taiwan Province of","5510","Production","394","Pumpkins, squash and gourds","2018","2018","tonnes","52868"
"QC","Crops","214","China, Taiwan Province of","5510","Production","788","Ramie","2018","2018","tonnes","0"
"QC","Crops","214","China, Taiwan Province of","5510","Production","270","Rapeseed","2018","2018","tonnes","8"
"QC","Crops","214","China, Taiwan Province of","5510","Production","27","Rice, paddy","2018","2018","tonnes","1949796"
"QC","Crops","214","China, Taiwan Province of","5510","Production","149","Roots and tubers nes","2018","2018","tonnes",""
"QC","Crops","214","China, Taiwan Province of","5510","Production","328","Seed cotton","2018","2018","tonnes",""
